# Source: David Robbins, Lyme Planning and Zoning - 6Apr2021,,
# Mapping between Vision ID and the tax map/lot number,,
# VisionID,TaxMap,Lot
# Updated 21 Nov 2021 with results from the Old vs. New PDF from town website
1394,416,24
1399,416,25
1400,416,26
1401,416,27
1402,417,1
1403,417,2
1410,417,6.1
1412,417,7
1413,418,1
1417,418,3
# 102642,201,35.1 - Units are 10..60, no 35 -reb
# 102643,401,55.1010 - Units are 101..903 - no 1010 -reb
101204,407,86.6
101205,407,86.7
101262,414,65
101203,407,86.5
100822,405,26
102854,401,31.2
100863,401,23.12
101082,407,86.11
101143,414,15
100582,401,55.903
100622,405,3
100142,401,55.101
100162,401,55.102
100163,401,55.103
100164,401,55.105
100243,407,53.4
100282,407,53.3
100462,401,55.203
100000,402,18.1
636,406,33
100322,405,7
1019,409,64
1101,410,38
1124,410,61
101243,409,23.1
100182,401,55.104
1192,413,19
102,201,71
138,201,95
231,401,31.1
101582,414,48
274,401,64
100642,405,49
537,405,8
649,407,10
720,407,56.1
311,402,19
234,401,34
238,401,38
243,401,40
277,401,67
291,401,78
303,402,11
317,402,25
122,201,85
124,201,87
142,201,99
152,201,105
169,201,119
180,201,130
201,401,13.1
202,401,13.2
100122,414,55
55,201,35.6
57,201,37
62,201,42
65,201,45
67,201,47
77,201,51.2
88,201,62
95,201,69
117,201,80.1
29,201,22
30,201,23
33,201,26
921,408,64.2
934,408,70.1
939,408,71.1
962,409,15
969,409,22
977,409,30
899,408,54
875,408,37
877,408,39
881,408,43
895,408,50
896,408,51
898,408,53
839,408,2
768,407,87
771,407,90
785,407,97
799,407,109
27,201,20
36,201,29
51,201,35.2
52,201,35.3
53,201,35.4
1387,416,21
1406,417,5
1462,420,22
1298,414,53
1319,414,63
1335,415,11
1340,415,15
1341,415,16
1344,415,19
1263,414,32
787,407,99
963,409,16
1058,410,3
1277,414,44
1363,415,29
1448,420,8
100264,404,51
100583,401,55.123
103117,201,77,T
101162,201,77,E
1070,410,11
# 1075,410,13.1 Correct unit is 1200 -reb
103178,410,13.1200
1077,410,33.2
1078,410,15
1081,410,18
1082,410,19
1083,410,20
1084,410,21
1085,410,22
1087,410,24
1091,410,28
1092,410,29
1093,410,30
1094,410,31
1096,410,33.2
1098,410,35
1102,410,39
1104,410,41
1105,410,42
692,407,32
1109,410,46.1
694,407,34
1111,410,48
1112,410,49
1113,410,50
695,407,35
706,407,46
960,409,13
961,409,14
964,409,17
965,409,18
1121,410,58
1122,410,59
773,407,92
774,407,93
775,407,94
776,407,95
102956,401,53.2
1208,414,2
1209,414,3
1211,414,5
1212,414,6
1213,414,7
1215,414,9.1
1222,414,11.11
1223,414,11.12
1225,414,12
1226,414,13
1227,414,14
1228,415,30
1230,414,17
1232,414,19
1233,414,20
1234,414,21
1236,414,23
1247,414,26.1
1248,414,26.2
1249,414,27
101382,407,76.2
89,201,63
224,401,28
272,401,62
401,402,103
518,404,43
1289,414,49
100103,410,72
103036,402,75
103016,403,27
103079,406,16
103078,406,4
103097,406,4.1
103157,406,9
102996,409,59
